setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy16,late,kcenter_mean2,64,57.505,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,all,uniform,8,8.0,1.0,-1.0,0.7731818181818182,0.9839531191871393,0.9636587416949136,0.00960817298089916,0.7132536698471416,0.831414520740509,9.56005223732103,True
dimy16,all,uniform,16,16.0,1.0,-1.0,0.8177272727272727,0.992499908753148,0.9831331502133642,0.004474955906202509,0.5730537582527507,0.648594081401825,6.919929118454457,True
dimy16,all,uniform,32,32.0,1.0,-1.0,0.8727272727272727,0.9967559167730666,0.992768728910337,0.0019581698801961135,0.421348757093603,0.47162413597106934,4.554407920756123,True
dimy16,all,uniform,64,64.0,1.0,1.0,0.9236363636363636,0.9989021023955167,0.9976420033809249,0.0006045602550412613,0.26018109104850073,0.26893407106399536,3.0142532151192425,True
dimy16,all,importance,8,7.7736363636363635,1.0,-1.0,0.7563636363636363,0.983104774492357,0.9630535527338172,0.009882689081132412,0.7300662295384841,0.8540261387825012,10.614461293681101,True
dimy16,all,importance,16,15.045,1.0,-1.0,0.8118181818181818,0.9913233886198757,0.9815183311901096,0.0048736547585576774,0.6172598459503867,0.6753377914428711,5.97785324386575,True
dimy16,all,importance,32,28.349545454545453,1.0,-1.0,0.8509090909090908,0.9955834414420281,0.9909742598962739,0.0023344279870136896,0.4998740803111683,0.531316876411438,5.602069495821541,True
dimy16,all,importance,64,50.23318181818181,1.0,-1.0,0.8822727272727272,0.9977865213757354,0.9954176735169221,0.00118702647741884,0.38008375330404803,0.39367038011550903,4.759210815212944,True
dimy16,all,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter_mean2,8,7.681818181818182,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter_mean2,16,15.522272727272728,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
