setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
10D,4,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.6673023883042236,0.665452023866638,0.0018503644375856127,-0.0464696389203284,0.05029495786396675,46,0.9425028748562572,0.0,0.0,0,0,396,True,0.37814754486083985,0.32665430784225463,0.430763304233551,4.999750012499375e-05,-0.00447795425697306,0.5831674821197521
10D,4,no_lgd,none,trust_noise1,100,1000,0.6673023883042236,0.6146273008126735,0.052675087491550164,0.003686949389632202,0.10208901360743601,57,0.03949802509874506,0.0,0.0,0,0,396,True,0.27317378282546995,0.21609307765960695,0.33300773859024047,4.999750012499375e-05,-0.00946571753539105,0.7403707509697415
10D,8,no_lgd,none,clip0.5,100,1000,0.6578303439994319,0.601340852917137,0.05648949108229489,0.008289089154720005,0.10424367827070673,60,0.024748762561871907,0.0,0.0,0,0,792,True,0.2831475877761841,0.23385828733444214,0.3330326223373413,4.999750012499375e-05,0.05220894708773505,0.659593564439565
10D,8,no_lgd,none,relclip1,100,1000,0.6578303439994319,0.5967763261429695,0.061054017856462396,0.01167149148466229,0.11067977850280551,60,0.018499075046247686,0.0,0.0,0,0,792,True,0.2823298788070679,0.23302542686462402,0.33199640274047854,4.999750012499375e-05,0.03709998599271369,0.660916527340305
10D,8,no_lgd,none,relclip2,100,1000,0.6578303439994319,0.6398802115388325,0.017950132460599368,-0.03606529563908456,0.07062595541081725,53,0.5132243387830608,0.0,0.0,0,0,792,True,0.14779149293899535,0.08811329603195191,0.20684383153915406,4.999750012499375e-05,0.008379075485107745,0.7091871555801481
10D,8,no_lgd,none,relclip_ema2,100,1000,0.6578303439994319,0.668971252095503,-0.011140908096071205,-0.06090014741669708,0.03843228793127556,47,0.656017199140043,0.0,0.0,0,0,792,True,0.11365263938903808,0.0533778715133667,0.17299708127975463,0.0002999850007499625,-0.015448412176208515,0.7095125449099577
10D,8,no_lgd,none,sqrt_floor,100,1000,0.6578303439994319,0.6096085158397887,0.0482218281596432,5.858228081249417e-05,0.09675946113469792,54,0.057747112644367785,0.0,0.0,0,0,792,True,0.17846425533294677,0.1221136713027954,0.23492473363876343,4.999750012499375e-05,-0.0005452396094273171,0.6692505626502679
10D,8,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.6578303439994319,0.5851099122401052,0.07272043175932666,0.02277503065443674,0.12223394230542955,58,0.00599970001499925,0.0,0.0,0,0,792,True,0.28461514711380004,0.23574651002883912,0.33407302618026735,4.999750012499375e-05,0.035554254725744694,0.6576415493502281
10D,8,no_lgd,none,trust_noise1,100,1000,0.6578303439994319,0.5347423798374564,0.12308796416197548,0.07108436724483777,0.17452749672661405,71,4.999750012499375e-05,0.0,0.0,0,0,792,True,0.2515617609024048,0.1979130744934082,0.30568177700042726,4.999750012499375e-05,0.09359560622538432,0.6849167845200281
10D,16,no_lgd,none,clip0.5,100,1000,0.5634671869671288,0.5410930675646527,0.022374119402476238,-0.015651064036177404,0.06005192740222646,52,0.25783710814459276,0.0,0.0,0,0,1584,True,0.13352397918701173,0.09556288719177246,0.17339969873428346,4.999750012499375e-05,-0.008038642518005235,0.660162689369754
10D,16,no_lgd,none,relclip1,100,1000,0.5634671869671288,0.5321053636803835,0.03136182328674531,-0.012675600026912807,0.07545401821736623,51,0.16369181540922953,0.0,0.0,0,0,1584,True,0.1345280861854553,0.09724477529525757,0.1732047128677368,4.999750012499375e-05,0.011936325204980225,0.6544470299500972
10D,16,no_lgd,none,relclip2,100,1000,0.5634671869671288,0.514253934690173,0.04921325227695589,0.008766428566059832,0.09008334725921016,54,0.021798910054497276,0.0,0.0,0,0,1584,True,0.11304225921630859,0.07048867225646972,0.15697981119155885,4.999750012499375e-05,-0.024378951193371412,0.6934029052197002
